"ID","Usuario","Perfil_Detalle","Tiempo_Aproximado","Tipo_Comida","Rango_Precio","Sentimiento","Platos_Mencionados","Aspectos_Positivos","Aspectos_Negativos","Respuesta_Propietario","Texto_Resena"
274,"Manuel Rodicio Beña","Local Guide · 23 reseñas · 19 fotos","Hace 4 años","Cena","20-30 €","Positivo","Bravas, Empanadillas criollas, Sam de gambas, Croquetas","Bravas, empanadillas y sam de gambas riquísimos; camareros atentos y simpáticos","Croquetas correctas sin nada especial","No","Todo bueno. Las bravas especialmente, las empanadillas criollas y lo mejor las sam de gambas. Las croquetas correctas, pero nada especiales. Los camareros atentos y simpáticos."
275,"Amador Villar Riu","Local Guide · 154 reseñas · 5 fotos","Hace 7 años","","","Positivo","Tapas variadas","Comida bien preparada y muy rica, local agradable","Local pequeño","No","Genial. Nos gustó mucho. Esta todo muy bien preparado, y muy rico. El sitio es pequeño pero muy agradable. Variedad de tapas, No os defraudará"
276,"ramon aragon rodriguez","Local Guide · 749 reseñas · 4.778 fotos","Hace 8 años","","","Positivo","Tapeo informal","Referente de tapeo informal de alta calidad","No reservan mesas; servicio colapsado por avalancha de clientes en horas punta","No","Aunque lleva poco tiempo abierto ya se ha convertido en un referente de los que buscamos un tapeo informal pero de alta calidad. Como no reservan mesas hay que ir lo más pronto posible... A veces se les colapsa el servicio"
277,"Gui Volker","7 reseñas","Hace 4 años","","","Positivo","Empanadillas criollas, Tacos de pulpo en tempura","Fusión hispano-latina perfecta, tapas deliciosas, precio justo","","No","Uno de los mejores restaurantes que conozco en España. La perfecta mezcla de la culinaria española y latina resultan en tapas deliciosas con precio justo. Recomiendo las empanadillas criollas y los tacos de pulpo en tempura."
278,"David López","Local Guide · 18 reseñas · 8 fotos","Hace 3 años","Cena","","Positivo","Tapas de autor","Tapas exquisitas y variadas con gran textura y sabor; camarero uruguayo muy acogedor","","No","Tapas exquisitas y variadas con diferentes texturas y sabores. Gran elaboración. En sala tienen un camarero uruguayo que te hace sentir como en casa. Volveremos!"
279,"Eduardo López-Tarruella González","Local Guide · 292 reseñas · 342 fotos","Hace 4 años","","","Positivo","","Platos con identidad y sensaciones únicas, gran asesoramiento de sala","","Sí","Gran descubrimiento. El equipo de sala nos ha dirigido muy bien nuestra idea de cena. Todos los platos tenían su identidad, sus sabores y hacen que desgastes una cena de sensaciones. Volveré seguro"
280,"Ricardo Quintana","Local Guide · 199 reseñas · 175 fotos","Hace 8 años","","","Mixto","Raciones","Sabor muy bueno en todos los platos","Raciones con poca cantidad y precio bastante caro","No","Muy bueno todo lo que hemos probado, eso si las raciones con poca cantidad y bastante caro."
281,"Jorge Sanchez","Local Guide · 23 reseñas · 4 fotos","Hace 6 años","","","Negativo","Cerveza","Comida notable para almuerzos formales","Servicio muy deficiente y lento (esperas eternas por una cerveza); no apto para picoteo rápido","Sí","Segunda vez que me voy esperando a que me pongan una simple cerveza. Esta vez en la mesa de la entrada en su nuevo local. La comida notable, el servicio deficiente. Para comer merece, para ir a tomar unas cervezas y picar algo, hay 40 mejores"
282,"Elena Ros","7 reseñas · 1 foto","Hace 4 años","Cena","40-50 €","Positivo","Sam de gambas","Comida muy rica, buen asesoramiento, sam de gambas sobresaliente","Algo caro (45€ por persona tomando solo cerveza y agua)","No","Todo muy rico. Nos asesoraron bien para pedir. El sam de gambas estaba buenísimo. Un poquito caro, 45€ por persona bebiendo solo cerveza y agua."
283,"Eva Reyero","Local Guide · 12 reseñas · 4 fotos","Hace 2 años","Cena","60-70 €","Negativo","Torreznos","","Comida muy escasa para menú de grupo de 60€; torreznos excesivamente grasientos para cenar","No","He estado un par de veces y no lo recomiendo para grupos grandes, en mi opinión la comida fue escasa para un menú de 60€, y no debí de comer mucho porque acabamos bailando. Los torreznos para cenar, caen un poco grasientos."
